ele,time
1499.5,19:03:06+00
1500,19:03:11+00
1500.8,19:03:19+00
1501.7,19:03:28+00
1502.6,19:03:36+00
1503.6,19:03:44+00
1505.2,19:03:53+00
1506.7,19:04:03+00
1508.1,19:04:28+00
1509.2,19:04:35+00
1510.4,19:04:43+00
1511.5,19:04:50+00
1512.4,19:04:58+00
1513.1,19:05:05+00
1513.5,19:05:14+00
1513.5,19:05:22+00
1513.4,19:05:33+00
1513.2,19:05:44+00
1513,19:05:52+00
1512.8,19:05:58+00
1512.8,19:06:03+00
1512.7,19:06:10+00
1512.9,19:06:16+00
1513.4,19:06:28+00
1514,19:06:35+00
1514.8,19:06:43+00
1515.7,19:06:50+00
1516.8,19:07:06+00
1518,19:07:21+00
1519,19:07:40+00
1520,19:08:06+00
1521,19:08:15+00
1521.9,19:08:32+00
1522.5,19:08:42+00
1523.2,19:09:20+00
1523.5,19:09:30+00
1523.8,19:09:39+00
1524.4,19:09:47+00
1525,19:10:07+00
1525.6,19:10:28+00
1526.7,19:10:45+00
1528.2,19:11:44+00
1530.1,19:11:56+00
1532.4,19:12:10+00
1534.9,19:12:24+00
1537.7,19:12:36+00
1541,19:12:48+00
1544.5,19:13:07+00
1547.9,19:13:20+00
1551.4,19:13:35+00
1554.8,19:13:49+00
1558.3,19:14:36+00
1561.6,19:14:53+00
1564.8,19:15:07+00
1567.9,19:15:46+00
1570.8,19:15:58+00
1573.4,19:16:10+00
1575.5,19:16:23+00
1577.8,19:16:39+00
1580,19:17:09+00
1582.2,19:17:22+00
1584.4,19:17:43+00
1586.5,19:17:56+00
1588.5,19:18:10+00
1590.4,19:19:14+00
1592.1,19:19:26+00
1593.7,19:19:38+00
1595.5,19:19:50+00
1597.2,19:20:03+00
1598.8,19:20:16+00
1600.5,19:20:26+00
1601.9,19:20:36+00
1603.4,19:20:51+00
1604.6,19:21:02+00
1605.8,19:21:12+00
1607.1,19:21:25+00
1608.3,19:21:35+00
1609.5,19:21:48+00
1610.6,19:22:02+00
1611.8,19:22:14+00
1612.9,19:22:26+00
1614,19:22:38+00
1615.2,19:22:50+00
1616.4,19:23:02+00
1617.6,19:23:13+00
1618.9,19:23:24+00
1620.4,19:23:36+00
1622.2,19:23:47+00
1624.1,19:23:57+00
1625.9,19:24:07+00
1627.9,19:24:19+00
1630,19:24:34+00
1632,19:24:44+00
1634,19:25:00+00
1636,19:25:13+00
1638,19:25:24+00
1639.9,19:25:35+00
1641.5,19:25:44+00
1642.7,19:25:52+00
1643.9,19:26:01+00
1645.2,19:26:10+00
1646.4,19:26:27+00
1647.6,19:26:45+00
1648.9,19:27:03+00
1650.2,19:29:03+00
1651.2,19:29:15+00
1652.2,19:29:27+00
1653.4,19:29:37+00
1654.7,19:30:00+00
1656.2,19:30:11+00
1657.6,19:30:21+00
1659,19:30:31+00
1660.5,19:30:39+00
1661.9,19:30:56+00
1663.5,19:31:06+00
1664.9,19:31:14+00
1666.6,19:31:26+00
1668.5,19:31:36+00
1670.3,19:31:47+00
1672.1,19:31:58+00
1673.8,19:32:11+00
1675.6,19:32:21+00
1677.5,19:32:34+00
1679.1,19:32:46+00
1680.5,19:32:59+00
1682.1,19:33:11+00
1683.7,19:33:21+00
1685.5,19:33:32+00
1687.2,19:33:42+00
1688.9,19:35:37+00
1690.7,19:35:48+00
1692.6,19:36:01+00
1694.5,19:36:14+00
1696.4,19:36:27+00
1698.3,19:36:37+00
1700.2,19:36:46+00
1701.9,19:36:56+00
1703.5,19:37:06+00
1705.1,19:37:17+00
1706.6,19:37:24+00
1708.1,19:37:35+00
1709.5,19:37:45+00
1710.7,19:37:55+00
1712.1,19:38:05+00
1713.3,19:38:15+00
1714.5,19:38:24+00
1715.9,19:38:35+00
1717.5,19:38:44+00
1719.5,19:38:54+00
1721.4,19:39:09+00
1723.2,19:39:17+00
1725,19:39:27+00
1726.8,19:39:38+00
1728.7,19:40:05+00
1730.6,19:40:18+00
1732.7,19:40:30+00
1734.8,19:40:37+00
1737,19:40:47+00
1739,19:41:01+00
1740.9,19:41:26+00
1742.9,19:41:40+00
1745.1,19:41:53+00
1747.5,19:42:07+00
1750,19:42:20+00
1752.7,19:46:53+00
1755.5,19:47:08+00
1758.5,19:47:28+00
1761.5,19:47:40+00
1764.5,19:47:55+00
1767.5,19:48:10+00
1770.5,19:48:26+00
1773.4,19:48:37+00
1776.2,19:48:54+00
1778.9,19:49:06+00
1781.5,19:49:18+00
1784.2,19:49:34+00
1787,19:49:49+00
1790,19:50:08+00
1793.1,19:50:47+00
1795.9,19:51:02+00
1798.9,19:51:14+00
1802,19:51:31+00
1805.2,19:51:55+00
1808.5,19:53:15+00
1811.8,19:54:46+00
1815.4,19:55:03+00
1818.9,19:55:27+00
1822.2,19:55:45+00
1823.7,19:55:55+00
1825.1,19:56:06+00
1826.9,19:56:25+00
1828.6,19:56:49+00
1830.2,19:57:22+00
1844,19:58:52+00
1844,19:58:59+00
1844,19:59:18+00
1844,19:59:45+00
1844,20:00:01+00
1857,20:02:50+00
1858.9,20:02:56+00
1860.5,20:03:11+00
1860.5,20:03:24+00
1860.5,20:03:39+00
1860.5,20:03:56+00
1862,20:04:12+00
1863.7,20:04:23+00
1881.3,20:04:47+00
1883,20:04:54+00
1884.5,20:05:08+00
1884.5,20:05:20+00
1884.5,20:05:38+00
1884.5,20:05:50+00
1886.4,20:06:04+00
1888.5,20:06:23+00
1894.8,20:06:48+00
1894.8,20:07:11+00
1894.8,20:07:29+00
1894.8,20:07:38+00
1906.5,20:12:51+00
1908.4,20:13:04+00
1909.9,20:13:25+00
1911,20:13:45+00
1911,20:14:00+00
1911,20:14:24+00
1912.9,20:14:54+00
1914.7,20:15:41+00
1916.3,20:15:50+00
1927.8,20:18:00+00
1929.9,20:18:34+00
1931.9,20:18:55+00
1933.8,20:19:13+00
1935.4,20:19:27+00
1936.9,20:19:49+00
1940.1,20:20:51+00
1943.1,20:21:07+00
1946.3,20:21:21+00
1949.4,20:22:35+00
1952.2,20:22:51+00
1954.8,20:23:12+00
1957.4,20:25:05+00
1959.8,20:25:35+00
1962.3,20:25:48+00
1965.1,20:26:22+00
1968.1,20:28:57+00
1971.3,20:29:11+00
1974.5,20:29:24+00
1977.7,20:29:38+00
1981.2,20:33:13+00
1984.7,20:33:18+00
1988.5,20:33:23+00
1992.5,20:33:28+00
1996.6,20:35:06+00
2001,20:35:21+00
2005.4,20:35:40+00
2010.1,20:35:58+00
2014.9,20:36:18+00
2019.5,20:36:41+00
2024.3,20:37:08+00
2029,20:37:29+00
2033.8,20:38:07+00
2038.2,20:38:38+00
2042.5,20:39:55+00
2046.5,20:40:25+00
2050.5,20:40:46+00
2054.4,20:41:15+00
2057.7,20:41:26+00
2060.9,20:42:49+00
2064.3,20:43:11+00
2067.4,20:43:40+00
2070.1,20:44:06+00
2072.5,20:44:21+00
2074.7,20:44:43+00
2077,20:44:55+00
2079.2,20:45:15+00
2081.1,20:45:33+00
2082.8,20:45:49+00
2084.5,20:46:05+00
2086,20:47:33+00
2087.4,20:47:45+00
2088.7,20:47:57+00
2090.2,20:48:11+00
2091.8,20:48:24+00
2093.5,20:48:35+00
2095.2,20:48:49+00
2096.8,20:49:00+00
2098.5,20:49:12+00
2100.1,20:49:24+00
2101.7,20:49:58+00
2103.4,20:50:12+00
2105,20:50:39+00
2106.5,20:51:06+00
2107.9,20:51:19+00
2109.3,20:51:49+00
2110.6,20:52:03+00
2111.9,20:52:18+00
2113.2,20:52:29+00
2114.4,20:52:42+00
2115.6,20:53:08+00
2117,20:53:19+00
2118.5,20:53:31+00
2120.1,20:53:41+00
2122,20:54:35+00
2124,20:54:48+00
2126.1,20:55:01+00
2128.4,20:55:13+00
2130.6,20:55:23+00
2132.9,20:55:33+00
2135.2,20:55:45+00
2137.3,20:55:56+00
2139.4,20:56:08+00
2141.4,20:56:21+00
2143.3,20:56:36+00
2145.1,20:56:47+00
2147,20:57:02+00
2149,20:57:15+00
2150.9,20:57:45+00
2153,20:57:59+00
2155,20:58:13+00
2157.1,20:58:25+00
2159.3,20:58:36+00
2161.5,20:58:48+00
2163.5,20:58:59+00
2165.5,20:59:19+00
2167.5,20:59:32+00
2169.2,20:59:43+00
2170.7,20:59:55+00
2172.3,21:00:08+00
2173.5,21:00:21+00
2174.9,21:00:32+00
2176.2,21:00:42+00
2177.3,21:00:52+00
2178.3,21:01:02+00
2179.3,21:01:14+00
2180,21:01:39+00
2180.6,21:01:48+00
2181.3,21:01:58+00
2181.9,21:02:07+00
2182.5,21:02:17+00
2183.3,21:02:26+00
2183.8,21:02:38+00
2184.3,21:02:47+00
2184.7,21:02:58+00
2185.2,21:03:09+00
2185.6,21:03:18+00
2186.2,21:03:28+00
2186.5,21:03:37+00
2187,21:03:46+00
2187.5,21:03:55+00
2187.5,21:04:04+00
2187.5,21:04:15+00
2187.5,21:04:25+00
2187.6,21:06:34+00
2187.7,21:06:58+00
2187.6,21:10:17+00
2187.5,21:12:48+00
2187.4,21:14:41+00
2187.5,21:14:54+00
2187.2,21:16:13+00
2186.6,21:16:24+00
2186.3,21:16:35+00
2186,21:16:45+00
2185.7,21:16:54+00
2185.2,21:17:04+00
2184.7,21:17:14+00
2184.4,21:17:21+00
2183.9,21:17:30+00
2183.3,21:17:38+00
2182.5,21:17:47+00
2181.9,21:17:57+00
2181.4,21:18:06+00
2180.8,21:18:15+00
2180.2,21:18:23+00
2179.3,21:18:32+00
2178.3,21:18:40+00
2177.2,21:18:48+00
2175.9,21:18:57+00
2174.6,21:19:08+00
2173.4,21:19:18+00
2172,21:19:27+00
2170.5,21:19:37+00
2169,21:19:46+00
2167.2,21:19:56+00
2165.3,21:20:17+00
2163.3,21:20:35+00
2161.3,21:20:49+00
2159.2,21:21:00+00
2157.2,21:21:11+00
2155.1,21:21:21+00
2153.1,21:21:30+00
2151.1,21:21:39+00
2149.2,21:21:50+00
2147.2,21:21:59+00
2145.3,21:22:09+00
2143.3,21:22:18+00
2141.2,21:22:23+00
2139,21:22:26+00
2136.8,21:22:30+00
2134.5,21:22:34+00
2132.2,21:22:38+00
2129.8,21:22:43+00
2127.5,21:22:47+00
2125.2,21:22:51+00
2123,21:22:55+00
2120.9,21:22:59+00
2119.1,21:23:03+00
2117.5,21:23:07+00
2116.1,21:23:11+00
2114.7,21:23:15+00
2113.3,21:23:19+00
2111.9,21:23:23+00
2110.5,21:23:27+00
2109,21:23:31+00
2107.6,21:23:36+00
2106.3,21:23:40+00
2104.8,21:23:44+00
2103.2,21:23:52+00
2101.5,21:26:32+00
2099.9,21:26:39+00
2098.2,21:26:48+00
2096.5,21:26:55+00
2094.9,21:27:02+00
2093.3,21:27:09+00
2091.5,21:27:17+00
2089.8,21:27:25+00
2088.3,21:27:33+00
2086.8,21:27:41+00
2085.5,21:27:49+00
2084,21:27:58+00
2082.5,21:28:38+00
2080.7,21:29:20+00
2078.7,21:29:53+00
2076.6,21:30:09+00
2074.3,21:30:25+00
2071.8,21:30:42+00
2069.3,21:30:59+00
2066.5,21:31:16+00
2063.4,21:31:32+00
2060.2,21:31:56+00
2056.7,21:32:23+00
2052.9,21:32:34+00
2048.9,21:32:58+00
2045,21:33:39+00
2041.1,21:34:09+00
2037.2,21:35:41+00
2033.2,21:37:00+00
2028.8,21:37:30+00
2024.1,21:37:54+00
2019.5,21:38:18+00
2014.5,21:38:56+00
2009.5,21:40:11+00
2004.9,21:40:35+00
2000.4,21:41:03+00
1995.9,21:41:23+00
1991.4,21:41:38+00
1987,21:41:57+00
1982.8,21:42:53+00
1979,21:43:04+00
1975.4,21:43:08+00
1972,21:43:12+00
1968.8,21:43:17+00
1965.7,21:43:32+00
1962.8,21:43:43+00
1960.3,21:43:53+00
1957.7,21:44:03+00
1955.2,21:44:12+00
1952.5,21:44:21+00
1949.5,21:44:31+00
1946.2,21:44:54+00
1943,21:45:15+00
1940,21:45:31+00
1937,21:45:41+00
1934,21:45:50+00
1930.8,21:46:12+00
1927.4,21:46:52+00
1923.8,21:47:06+00
1920.3,21:47:27+00
1916.8,21:47:54+00
1913.3,21:48:22+00
1910,21:48:37+00
1906.9,21:49:39+00
1903.5,21:50:01+00
1900.1,21:50:19+00
1896.6,21:50:44+00
1893.1,21:51:33+00
1889.5,21:51:53+00
1885.9,21:52:20+00
1882.5,21:52:35+00
1878.9,21:52:46+00
1875.5,21:53:10+00
1872,21:53:25+00
1868.2,21:53:34+00
1864.4,21:53:41+00
1860.5,21:53:51+00
1856.5,21:54:01+00
1852.7,21:54:11+00
1848.9,21:54:22+00
1845.2,21:54:34+00
1841.2,21:54:44+00
1837.4,21:54:51+00
1833.5,21:54:59+00
1829.9,21:55:10+00
1826.3,21:55:17+00
1822.7,21:55:26+00
1819.2,21:55:35+00
1816,21:55:43+00
1814.2,21:55:51+00
1812.4,21:56:00+00
1810.8,21:56:11+00
1809.3,21:56:19+00
1807.8,21:56:22+00
1746,22:04:15+00
1744.9,22:04:39+00
1743.8,22:04:54+00
1742.7,22:05:08+00
1741.7,22:05:20+00
1740.8,22:05:30+00
1738.9,22:05:45+00
1736.9,22:05:53+00
1734.9,22:06:03+00
1732.9,22:06:13+00
1730.9,22:06:22+00
1728.9,22:06:34+00
1727.1,22:06:44+00
1725.4,22:06:52+00
1723.7,22:07:01+00
1722.1,22:07:09+00
1720.5,22:07:17+00
1718.8,22:07:28+00
1717.2,22:07:37+00
1715.7,22:07:47+00
1714.4,22:07:56+00
1713.2,22:08:03+00
1711.9,22:08:11+00
1710.5,22:08:18+00
1709.2,22:08:26+00
1707.6,22:08:34+00
1706,22:08:42+00
1704.3,22:08:52+00
1702.5,22:09:00+00
1700.5,22:09:09+00
1698.5,22:09:17+00
1696.5,22:09:26+00
1694.4,22:09:33+00
1692.4,22:09:40+00
1690.5,22:09:47+00
1688.6,22:09:54+00
1686.9,22:10:01+00
1685.3,22:10:09+00
1683.6,22:10:17+00
1682.1,22:10:24+00
1680.6,22:10:31+00
1679.3,22:10:40+00
1677.8,22:10:48+00
1676.2,22:11:01+00
1674.5,22:11:11+00
1672.8,22:11:24+00
1671.1,22:11:34+00
1669.3,22:11:45+00
1667.4,22:11:55+00
1665.5,22:12:05+00
1663.7,22:12:16+00
1662.2,22:12:25+00
1660.5,22:12:34+00
1659.2,22:12:43+00
1657.8,22:12:51+00
1656.4,22:13:00+00
1654.9,22:13:12+00
1653.5,22:13:22+00
1652.3,22:13:31+00
1651.3,22:13:42+00
1650.5,22:13:51+00
1649.5,22:14:01+00
1648.4,22:14:10+00
1647.2,22:14:18+00
1645.9,22:14:28+00
1644.6,22:14:39+00
1643.5,22:14:48+00
1642.2,22:14:58+00
1640.7,22:15:07+00
1639.1,22:15:17+00
1637.1,22:15:28+00
1634.9,22:15:40+00
1632.9,22:15:51+00
1630.8,22:16:02+00
1628.7,22:16:15+00
1626.6,22:16:28+00
1624.6,22:16:42+00
1622.5,22:16:53+00
1620.5,22:17:06+00
1618.9,22:17:15+00
1617.5,22:17:26+00
1616.1,22:17:35+00
1614.8,22:17:46+00
1613.5,22:17:56+00
1612.2,22:18:07+00
1610.8,22:18:18+00
1609.5,22:18:29+00
1608.3,22:18:39+00
1606.9,22:18:50+00
1605.6,22:18:58+00
1604.4,22:19:08+00
1603.1,22:19:17+00
1601.8,22:19:27+00
1600.4,22:19:37+00
1598.9,22:19:47+00
1597.4,22:19:57+00
1595.9,22:20:06+00
1594.3,22:20:18+00
